#                             P           Q            P           Q
#                R                 5p                       6s 
     1      1.7857E-08   1.3629E-13 -2.9737E-18   1.9215E-07 -6.9874E-12
     2      1.8037E-08   1.3905E-13 -3.0643E-18   1.9409E-07 -7.1285E-12
     3      1.8218E-08   1.4186E-13 -3.1576E-18   1.9604E-07 -7.2725E-12
     4      1.8401E-08   1.4472E-13 -3.2537E-18   1.9801E-07 -7.4194E-12
     5      1.8586E-08   1.4765E-13 -3.3528E-18   2.0000E-07 -7.5693E-12
     6      1.8773E-08   1.5063E-13 -3.4549E-18   2.0201E-07 -7.7222E-12
     7      1.8961E-08   1.5367E-13 -3.5602E-18   2.0404E-07 -7.8782E-12
     8      1.9152E-08   1.5678E-13 -3.6686E-18   2.0609E-07 -8.0374E-12
     9      1.9344E-08   1.5994E-13 -3.7803E-18   2.0816E-07 -8.1998E-12
    10      1.9539E-08   1.6317E-13 -3.8954E-18   2.1025E-07 -8.3654E-12
    11      1.9735E-08   1.6647E-13 -4.0141E-18   2.1236E-07 -8.5344E-12
    12      1.9934E-08   1.6983E-13 -4.1363E-18   2.1450E-07 -8.7068E-12
    13      2.0134E-08   1.7326E-13 -4.2623E-18   2.1665E-07 -8.8827E-12
    14      2.0336E-08   1.7676E-13 -4.3921E-18   2.1883E-07 -9.0621E-12
    15      2.0541E-08   1.8034E-13 -4.5259E-18   2.2103E-07 -9.2452E-12
    16      2.0747E-08   1.8398E-13 -4.6637E-18   2.2325E-07 -9.4320E-12
    17      2.0956E-08   1.8770E-13 -4.8057E-18   2.2550E-07 -9.6225E-12
    18      2.1166E-08   1.9149E-13 -4.9521E-18   2.2776E-07 -9.8169E-12
    19      2.1379E-08   1.9536E-13 -5.1029E-18   2.3005E-07 -1.0015E-11
    20      2.1594E-08   1.9930E-13 -5.2583E-18   2.3236E-07 -1.0218E-11
    21      2.1811E-08   2.0333E-13 -5.4184E-18   2.3470E-07 -1.0424E-11
    22      2.2030E-08   2.0744E-13 -5.5834E-18   2.3706E-07 -1.0635E-11
    23      2.2251E-08   2.1163E-13 -5.7535E-18   2.3944E-07 -1.0849E-11
    24      2.2475E-08   2.1590E-13 -5.9287E-18   2.4185E-07 -1.1069E-11
    25      2.2701E-08   2.2026E-13 -6.1093E-18   2.4428E-07 -1.1292E-11
