#                            P           Q            P           Q            P           Q
#                R                5p-                      5p                       6s 
     1      1.7857E-08  4.4875E-12  1.1811E-07   1.4257E-13 -3.1109E-18   2.4982E-07 -9.0841E-12
     2      1.8037E-08  4.5781E-12  1.1930E-07   1.4545E-13 -3.2057E-18   2.5233E-07 -9.2676E-12
     3      1.8218E-08  4.6706E-12  1.2050E-07   1.4839E-13 -3.3033E-18   2.5486E-07 -9.4549E-12
     4      1.8401E-08  4.7650E-12  1.2171E-07   1.5139E-13 -3.4039E-18   2.5742E-07 -9.6459E-12
     5      1.8586E-08  4.8612E-12  1.2293E-07   1.5445E-13 -3.5076E-18   2.6001E-07 -9.8407E-12
     6      1.8773E-08  4.9594E-12  1.2417E-07   1.5757E-13 -3.6144E-18   2.6262E-07 -1.0040E-11
     7      1.8961E-08  5.0596E-12  1.2541E-07   1.6075E-13 -3.7244E-18   2.6526E-07 -1.0242E-11
     8      1.9152E-08  5.1618E-12  1.2667E-07   1.6400E-13 -3.8378E-18   2.6793E-07 -1.0449E-11
     9      1.9344E-08  5.2661E-12  1.2795E-07   1.6731E-13 -3.9547E-18   2.7062E-07 -1.0660E-11
    10      1.9539E-08  5.3725E-12  1.2923E-07   1.7069E-13 -4.0751E-18   2.7334E-07 -1.0876E-11
    11      1.9735E-08  5.4810E-12  1.3053E-07   1.7414E-13 -4.1992E-18   2.7609E-07 -1.1095E-11
    12      1.9934E-08  5.5917E-12  1.3184E-07   1.7765E-13 -4.3271E-18   2.7886E-07 -1.1320E-11
    13      2.0134E-08  5.7047E-12  1.3317E-07   1.8124E-13 -4.4589E-18   2.8167E-07 -1.1548E-11
    14      2.0336E-08  5.8199E-12  1.3451E-07   1.8490E-13 -4.5946E-18   2.8450E-07 -1.1781E-11
    15      2.0541E-08  5.9375E-12  1.3586E-07   1.8864E-13 -4.7345E-18   2.8736E-07 -1.2019E-11
    16      2.0747E-08  6.0574E-12  1.3723E-07   1.9245E-13 -4.8787E-18   2.9024E-07 -1.2262E-11
