#                                P           Q            P           Q            P           Q
#                R                    6s                       6p-                      6p 
     1      1.1364E-08      1.1141E-06 -3.4980E-11   1.0553E-11  3.2537E-07   1.5753E-13 -2.9678E-18
     2      1.1478E-08      1.1253E-06 -3.5687E-11   1.0767E-11  3.2864E-07   1.6071E-13 -3.0581E-18
     3      1.1593E-08      1.1366E-06 -3.6408E-11   1.0984E-11  3.3195E-07   1.6396E-13 -3.1513E-18
     4      1.1710E-08      1.1480E-06 -3.7143E-11   1.1206E-11  3.3528E-07   1.6727E-13 -3.2473E-18
     5      1.1827E-08      1.1595E-06 -3.7893E-11   1.1432E-11  3.3865E-07   1.7065E-13 -3.3461E-18
     6      1.1946E-08      1.1712E-06 -3.8659E-11   1.1663E-11  3.4205E-07   1.7409E-13 -3.4480E-18
     7      1.2066E-08      1.1829E-06 -3.9440E-11   1.1899E-11  3.4549E-07   1.7761E-13 -3.5531E-18
     8      1.2188E-08      1.1948E-06 -4.0237E-11   1.2139E-11  3.4896E-07   1.8120E-13 -3.6613E-18
     9      1.2310E-08      1.2068E-06 -4.1050E-11   1.2385E-11  3.5247E-07   1.8486E-13 -3.7728E-18
    10      1.2434E-08      1.2190E-06 -4.1879E-11   1.2635E-11  3.5601E-07   1.8859E-13 -3.8877E-18
    11      1.2559E-08      1.2312E-06 -4.2725E-11   1.2890E-11  3.5959E-07   1.9240E-13 -4.0061E-18
    12      1.2685E-08      1.2436E-06 -4.3588E-11   1.3150E-11  3.6321E-07   1.9629E-13 -4.1281E-18
    13      1.2812E-08      1.2561E-06 -4.4468E-11   1.3416E-11  3.6686E-07   2.0026E-13 -4.2538E-18
    14      1.2941E-08      1.2687E-06 -4.5367E-11   1.3687E-11  3.7054E-07   2.0430E-13 -4.3833E-18
    15      1.3071E-08      1.2815E-06 -4.6283E-11   1.3964E-11  3.7427E-07   2.0843E-13 -4.5168E-18
    16      1.3203E-08      1.2944E-06 -4.7218E-11   1.4246E-11  3.7803E-07   2.1264E-13 -4.6544E-18
    17      1.3335E-08      1.3074E-06 -4.8172E-11   1.4533E-11  3.8183E-07   2.1694E-13 -4.7961E-18
    18      1.3469E-08      1.3205E-06 -4.9145E-11   1.4827E-11  3.8567E-07   2.2132E-13 -4.9422E-18
    19      1.3605E-08      1.3338E-06 -5.0138E-11   1.5127E-11  3.8954E-07   2.2579E-13 -5.0927E-18
    20      1.3741E-08      1.3472E-06 -5.1151E-11   1.5432E-11  3.9346E-07   2.3035E-13 -5.2478E-18
    21      1.3880E-08      1.3607E-06 -5.2184E-11   1.5744E-11  3.9741E-07   2.3500E-13 -5.4076E-18
    22      1.4019E-08      1.3744E-06 -5.3238E-11   1.6062E-11  4.0140E-07   2.3975E-13 -5.5723E-18
    23      1.4160E-08      1.3882E-06 -5.4314E-11   1.6386E-11  4.0544E-07   2.4459E-13 -5.7420E-18
    24      1.4302E-08      1.4022E-06 -5.5411E-11   1.6717E-11  4.0951E-07   2.4954E-13 -5.9169E-18
    25      1.4446E-08      1.4162E-06 -5.6530E-11   1.7055E-11  4.1363E-07   2.5458E-13 -6.0971E-18
    26      1.4591E-08      1.4305E-06 -5.7672E-11   1.7400E-11  4.1779E-07   2.5972E-13 -6.2828E-18
    27      1.4738E-08      1.4449E-06 -5.8838E-11   1.7751E-11  4.2199E-07   2.6497E-13 -6.4741E-18
    28      1.4886E-08      1.4594E-06 -6.0026E-11   1.8110E-11  4.2623E-07   2.7032E-13 -6.6713E-18
    29      1.5036E-08      1.4740E-06 -6.1239E-11   1.8476E-11  4.3051E-07   2.7578E-13 -6.8744E-18
    30      1.5187E-08      1.4889E-06 -6.2476E-11   1.8849E-11  4.3484E-07   2.8135E-13 -7.0838E-18
    31      1.5339E-08      1.5038E-06 -6.3738E-11   1.9230E-11  4.3921E-07   2.8703E-13 -7.2995E-18
    32      1.5493E-08      1.5189E-06 -6.5026E-11   1.9618E-11  4.4362E-07   2.9283E-13 -7.5218E-18
    33      1.5649E-08      1.5342E-06 -6.6339E-11   2.0014E-11  4.4808E-07   2.9875E-13 -7.7509E-18
    34      1.5806E-08      1.5496E-06 -6.7679E-11   2.0419E-11  4.5258E-07   3.0478E-13 -7.9869E-18
    35      1.5965E-08      1.5652E-06 -6.9046E-11   2.0831E-11  4.5713E-07   3.1094E-13 -8.2302E-18
    36      1.6126E-08      1.5809E-06 -7.0441E-11   2.1252E-11  4.6173E-07   3.1722E-13 -8.4808E-18
    37      1.6288E-08      1.5968E-06 -7.1864E-11   2.1681E-11  4.6637E-07   3.2363E-13 -8.7391E-18
    38      1.6452E-08      1.6129E-06 -7.3316E-11   2.2119E-11  4.7105E-07   3.3017E-13 -9.0053E-18
    39      1.6617E-08      1.6291E-06 -7.4797E-11   2.2566E-11  4.7579E-07   3.3684E-13 -9.2795E-18
    40      1.6784E-08      1.6454E-06 -7.6308E-11   2.3022E-11  4.8057E-07   3.4364E-13 -9.5621E-18
    41      1.6953E-08      1.6620E-06 -7.7850E-11   2.3487E-11  4.8540E-07   3.5058E-13 -9.8533E-18
    42      1.7123E-08      1.6787E-06 -7.9422E-11   2.3962E-11  4.9028E-07   3.5767E-13 -1.0153E-17
    43      1.7295E-08      1.6956E-06 -8.1027E-11   2.4446E-11  4.9520E-07   3.6489E-13 -1.0463E-17
    44      1.7469E-08      1.7126E-06 -8.2664E-11   2.4940E-11  5.0018E-07   3.7226E-13 -1.0781E-17
    45      1.7644E-08      1.7298E-06 -8.4334E-11   2.5443E-11  5.0521E-07   3.7978E-13 -1.1110E-17
    46      1.7822E-08      1.7472E-06 -8.6037E-11   2.5957E-11  5.1029E-07   3.8746E-13 -1.1448E-17
    47      1.8001E-08      1.7648E-06 -8.7775E-11   2.6482E-11  5.1541E-07   3.9528E-13 -1.1797E-17
    48      1.8182E-08      1.7825E-06 -8.9548E-11   2.7017E-11  5.2059E-07   4.0327E-13 -1.2156E-17
    49      1.8364E-08      1.8004E-06 -9.1357E-11   2.7562E-11  5.2583E-07   4.1141E-13 -1.2526E-17
    50      1.8549E-08      1.8185E-06 -9.3203E-11   2.8119E-11  5.3111E-07   4.1973E-13 -1.2908E-17
    51      1.8735E-08      1.8368E-06 -9.5086E-11   2.8687E-11  5.3645E-07   4.2820E-13 -1.3301E-17
    52      1.8924E-08      1.8552E-06 -9.7007E-11   2.9267E-11  5.4184E-07   4.3685E-13 -1.3706E-17
    53      1.9114E-08      1.8739E-06 -9.8966E-11   2.9858E-11  5.4729E-07   4.4568E-13 -1.4123E-17
    54      1.9306E-08      1.8927E-06 -1.0097E-10   3.0461E-11  5.5279E-07   4.5468E-13 -1.4553E-17
    55      1.9500E-08      1.9117E-06 -1.0301E-10   3.1077E-11  5.5834E-07   4.6387E-13 -1.4996E-17
    56      1.9696E-08      1.9309E-06 -1.0509E-10   3.1704E-11  5.6395E-07   4.7324E-13 -1.5453E-17
    57      1.9894E-08      1.9504E-06 -1.0721E-10   3.2345E-11  5.6962E-07   4.8280E-13 -1.5924E-17
    58      2.0094E-08      1.9700E-06 -1.0937E-10   3.2998E-11  5.7535E-07   4.9255E-13 -1.6409E-17
    59      2.0296E-08      1.9898E-06 -1.1158E-10   3.3665E-11  5.8113E-07   5.0250E-13 -1.6908E-17
    60      2.0500E-08      2.0098E-06 -1.1384E-10   3.4345E-11  5.8697E-07   5.1265E-13 -1.7423E-17
    61      2.0706E-08      2.0299E-06 -1.1614E-10   3.5039E-11  5.9287E-07   5.2301E-13 -1.7954E-17
    62      2.0914E-08      2.0503E-06 -1.1848E-10   3.5747E-11  5.9883E-07   5.3358E-13 -1.8501E-17
    63      2.1124E-08      2.0710E-06 -1.2088E-10   3.6469E-11  6.0484E-07   5.4435E-13 -1.9064E-17
    64      2.1336E-08      2.0918E-06 -1.2332E-10   3.7205E-11  6.1092E-07   5.5535E-13 -1.9645E-17
    65      2.1551E-08      2.1128E-06 -1.2581E-10   3.7957E-11  6.1706E-07   5.6657E-13 -2.0243E-17
    66      2.1768E-08      2.1340E-06 -1.2835E-10   3.8724E-11  6.2326E-07   5.7802E-13 -2.0859E-17
    67      2.1986E-08      2.1555E-06 -1.3095E-10   3.9506E-11  6.2953E-07   5.8969E-13 -2.1495E-17
    68      2.2207E-08      2.1771E-06 -1.3359E-10   4.0304E-11  6.3585E-07   6.0160E-13 -2.2149E-17
    69      2.2430E-08      2.1990E-06 -1.3629E-10   4.1118E-11  6.4225E-07   6.1376E-13 -2.2824E-17
    70      2.2656E-08      2.2211E-06 -1.3904E-10   4.1949E-11  6.4870E-07   6.2616E-13 -2.3519E-17
    71      2.2884E-08      2.2434E-06 -1.4185E-10   4.2796E-11  6.5522E-07   6.3881E-13 -2.4235E-17
    72      2.3114E-08      2.2660E-06 -1.4472E-10   4.3661E-11  6.6180E-07   6.5171E-13 -2.4973E-17
    73      2.3346E-08      2.2888E-06 -1.4764E-10   4.4543E-11  6.6846E-07   6.6488E-13 -2.5734E-17
    74      2.3580E-08      2.3118E-06 -1.5062E-10   4.5443E-11  6.7517E-07   6.7831E-13 -2.6518E-17
    75      2.3817E-08      2.3350E-06 -1.5367E-10   4.6361E-11  6.8196E-07   6.9201E-13 -2.7325E-17
    76      2.4057E-08      2.3585E-06 -1.5677E-10   4.7297E-11  6.8881E-07   7.0599E-13 -2.8157E-17
    77      2.4299E-08      2.3822E-06 -1.5994E-10   4.8253E-11  6.9574E-07   7.2025E-13 -2.9015E-17
    78      2.4543E-08      2.4061E-06 -1.6317E-10   4.9228E-11  7.0273E-07   7.3480E-13 -2.9899E-17
    79      2.4789E-08      2.4303E-06 -1.6646E-10   5.0222E-11  7.0979E-07   7.4965E-13 -3.0809E-17
    80      2.5039E-08      2.4547E-06 -1.6983E-10   5.1237E-11  7.1692E-07   7.6479E-13 -3.1747E-17
    81      2.5290E-08      2.4794E-06 -1.7326E-10   5.2272E-11  7.2413E-07   7.8024E-13 -3.2714E-17
    82      2.5544E-08      2.5043E-06 -1.7676E-10   5.3328E-11  7.3141E-07   7.9600E-13 -3.3710E-17
    83      2.5801E-08      2.5295E-06 -1.8033E-10   5.4405E-11  7.3876E-07   8.1208E-13 -3.4737E-17
    84      2.6060E-08      2.5549E-06 -1.8397E-10   5.5504E-11  7.4618E-07   8.2849E-13 -3.5795E-17
    85      2.6322E-08      2.5806E-06 -1.8769E-10   5.6625E-11  7.5368E-07   8.4522E-13 -3.6885E-17
    86      2.6587E-08      2.6065E-06 -1.9148E-10   5.7769E-11  7.6126E-07   8.6230E-13 -3.8008E-17
    87      2.6854E-08      2.6327E-06 -1.9535E-10   5.8936E-11  7.6891E-07   8.7972E-13 -3.9166E-17
    88      2.7124E-08      2.6592E-06 -1.9929E-10   6.0127E-11  7.7663E-07   8.9749E-13 -4.0359E-17
    89      2.7397E-08      2.6859E-06 -2.0332E-10   6.1341E-11  7.8444E-07   9.1562E-13 -4.1588E-17
    90      2.7672E-08      2.7129E-06 -2.0743E-10   6.2581E-11  7.9232E-07   9.3412E-13 -4.2854E-17
    91      2.7950E-08      2.7401E-06 -2.1162E-10   6.3845E-11  8.0029E-07   9.5299E-13 -4.4160E-17
    92      2.8231E-08      2.7677E-06 -2.1589E-10   6.5135E-11  8.0833E-07   9.7224E-13 -4.5504E-17
    93      2.8515E-08      2.7955E-06 -2.2025E-10   6.6450E-11  8.1645E-07   9.9188E-13 -4.6890E-17
