#                             P           Q            P           Q            P           Q
#                R                 6d-                      6d                       7s 
     1      1.1364E-08   2.0263E-19  1.0411E-14   4.8816E-21 -6.5708E-26   4.0577E-07 -1.2742E-11
     2      1.1478E-08   2.0880E-19  1.0622E-14   5.0303E-21 -6.8389E-26   4.0984E-07 -1.3000E-11
     3      1.1593E-08   2.1516E-19  1.0836E-14   5.1834E-21 -7.1180E-26   4.1396E-07 -1.3262E-11
     4      1.1710E-08   2.2172E-19  1.1055E-14   5.3413E-21 -7.4085E-26   4.1812E-07 -1.3530E-11
     5      1.1827E-08   2.2847E-19  1.1279E-14   5.5040E-21 -7.7107E-26   4.2233E-07 -1.3804E-11
     6      1.1946E-08   2.3542E-19  1.1506E-14   5.6716E-21 -8.0253E-26   4.2657E-07 -1.4082E-11
     7      1.2066E-08   2.4259E-19  1.1739E-14   5.8443E-21 -8.3527E-26   4.3086E-07 -1.4367E-11
     8      1.2188E-08   2.4998E-19  1.1976E-14   6.0223E-21 -8.6934E-26   4.3519E-07 -1.4657E-11
     9      1.2310E-08   2.5759E-19  1.2218E-14   6.2057E-21 -9.0481E-26   4.3956E-07 -1.4953E-11
    10      1.2434E-08   2.6544E-19  1.2465E-14   6.3947E-21 -9.4172E-26   4.4398E-07 -1.5255E-11
    11      1.2559E-08   2.7352E-19  1.2717E-14   6.5894E-21 -9.8014E-26   4.4844E-07 -1.5563E-11
    12      1.2685E-08   2.8185E-19  1.2973E-14   6.7901E-21 -1.0201E-25   4.5295E-07 -1.5877E-11
    13      1.2812E-08   2.9043E-19  1.3236E-14   6.9969E-21 -1.0618E-25   4.5750E-07 -1.6198E-11
    14      1.2941E-08   2.9928E-19  1.3503E-14   7.2100E-21 -1.1051E-25   4.6210E-07 -1.6525E-11
    15      1.3071E-08   3.0839E-19  1.3776E-14   7.4296E-21 -1.1502E-25   4.6674E-07 -1.6859E-11
    16      1.3203E-08   3.1778E-19  1.4054E-14   7.6558E-21 -1.1971E-25   4.7143E-07 -1.7200E-11
    17      1.3335E-08   3.2746E-19  1.4338E-14   7.8890E-21 -1.2459E-25   4.7617E-07 -1.7547E-11
    18      1.3469E-08   3.3743E-19  1.4628E-14   8.1293E-21 -1.2968E-25   4.8096E-07 -1.7901E-11
    19      1.3605E-08   3.4771E-19  1.4923E-14   8.3768E-21 -1.3497E-25   4.8579E-07 -1.8263E-11
    20      1.3741E-08   3.5829E-19  1.5224E-14   8.6319E-21 -1.4048E-25   4.9067E-07 -1.8632E-11
    21      1.3880E-08   3.6921E-19  1.5532E-14   8.8948E-21 -1.4621E-25   4.9560E-07 -1.9008E-11
    22      1.4019E-08   3.8045E-19  1.5846E-14   9.1657E-21 -1.5217E-25   5.0059E-07 -1.9392E-11
    23      1.4160E-08   3.9204E-19  1.6166E-14   9.4449E-21 -1.5838E-25   5.0562E-07 -1.9784E-11
    24      1.4302E-08   4.0397E-19  1.6492E-14   9.7325E-21 -1.6485E-25   5.1070E-07 -2.0184E-11
    25      1.4446E-08   4.1628E-19  1.6826E-14   1.0029E-20 -1.7157E-25   5.1583E-07 -2.0591E-11
    26      1.4591E-08   4.2895E-19  1.7166E-14   1.0334E-20 -1.7858E-25   5.2102E-07 -2.1007E-11
    27      1.4738E-08   4.4202E-19  1.7512E-14   1.0649E-20 -1.8586E-25   5.2625E-07 -2.1432E-11
    28      1.4886E-08   4.5548E-19  1.7866E-14   1.0973E-20 -1.9345E-25   5.3154E-07 -2.1864E-11
    29      1.5036E-08   4.6935E-19  1.8227E-14   1.1308E-20 -2.0134E-25   5.3688E-07 -2.2306E-11
