#                R                  6p-                      6p                      7s 
#                              P           Q            P           Q           P           Q
     1      1.1364E-08    1.0897E-11  3.3595E-07   1.6503E-13 -3.1095E-18  4.1358E-07 -1.2986E-11
     2      1.1478E-08    1.1117E-11  3.3933E-07   1.6836E-13 -3.2042E-18  4.1773E-07 -1.3248E-11
     3      1.1593E-08    1.1342E-11  3.4274E-07   1.7176E-13 -3.3018E-18  4.2193E-07 -1.3516E-11
     4      1.1710E-08    1.1571E-11  3.4618E-07   1.7523E-13 -3.4023E-18  4.2617E-07 -1.3789E-11
     5      1.1827E-08    1.1805E-11  3.4966E-07   1.7877E-13 -3.5059E-18  4.3046E-07 -1.4067E-11
     6      1.1946E-08    1.2043E-11  3.5318E-07   1.8238E-13 -3.6127E-18  4.3478E-07 -1.4352E-11
     7      1.2066E-08    1.2286E-11  3.5673E-07   1.8607E-13 -3.7227E-18  4.3915E-07 -1.4641E-11
     8      1.2188E-08    1.2534E-11  3.6031E-07   1.8983E-13 -3.8360E-18  4.4356E-07 -1.4937E-11
     9      1.2310E-08    1.2788E-11  3.6393E-07   1.9366E-13 -3.9528E-18  4.4802E-07 -1.5239E-11
    10      1.2434E-08    1.3046E-11  3.6759E-07   1.9757E-13 -4.0732E-18  4.5253E-07 -1.5547E-11
    11      1.2559E-08    1.3309E-11  3.7129E-07   2.0156E-13 -4.1972E-18  4.5707E-07 -1.5861E-11
    12      1.2685E-08    1.3578E-11  3.7502E-07   2.0564E-13 -4.3250E-18  4.6167E-07 -1.6181E-11
    13      1.2812E-08    1.3853E-11  3.7879E-07   2.0979E-13 -4.4567E-18  4.6631E-07 -1.6508E-11
    14      1.2941E-08    1.4132E-11  3.8259E-07   2.1403E-13 -4.5924E-18  4.7099E-07 -1.6842E-11
    15      1.3071E-08    1.4418E-11  3.8644E-07   2.1835E-13 -4.7323E-18  4.7573E-07 -1.7182E-11
    16      1.3203E-08    1.4709E-11  3.9032E-07   2.2276E-13 -4.8764E-18  4.8051E-07 -1.7529E-11
    17      1.3335E-08    1.5006E-11  3.9424E-07   2.2726E-13 -5.0248E-18  4.8534E-07 -1.7883E-11
    18      1.3469E-08    1.5310E-11  3.9821E-07   2.3185E-13 -5.1778E-18  4.9021E-07 -1.8244E-11
    19      1.3605E-08    1.5619E-11  4.0221E-07   2.3654E-13 -5.3355E-18  4.9514E-07 -1.8613E-11
    20      1.3741E-08    1.5934E-11  4.0625E-07   2.4132E-13 -5.4980E-18  5.0012E-07 -1.8989E-11
    21      1.3880E-08    1.6256E-11  4.1033E-07   2.4619E-13 -5.6654E-18  5.0514E-07 -1.9373E-11
    22      1.4019E-08    1.6585E-11  4.1446E-07   2.5116E-13 -5.8379E-18  5.1022E-07 -1.9764E-11
    23      1.4160E-08    1.6920E-11  4.1862E-07   2.5624E-13 -6.0157E-18  5.1535E-07 -2.0163E-11
    24      1.4302E-08    1.7261E-11  4.2283E-07   2.6141E-13 -6.1989E-18  5.2053E-07 -2.0571E-11
    25      1.4446E-08    1.7610E-11  4.2708E-07   2.6670E-13 -6.3877E-18  5.2576E-07 -2.0986E-11
    26      1.4591E-08    1.7966E-11  4.3137E-07   2.7208E-13 -6.5822E-18  5.3104E-07 -2.1410E-11
    27      1.4738E-08    1.8329E-11  4.3571E-07   2.7758E-13 -6.7826E-18  5.3638E-07 -2.1843E-11
    28      1.4886E-08    1.8699E-11  4.4009E-07   2.8319E-13 -6.9892E-18  5.4177E-07 -2.2284E-11
    29      1.5036E-08    1.9077E-11  4.4451E-07   2.8891E-13 -7.2020E-18  5.4722E-07 -2.2734E-11
    30      1.5187E-08    1.9462E-11  4.4898E-07   2.9474E-13 -7.4213E-18  5.5272E-07 -2.3193E-11
    31      1.5339E-08    1.9855E-11  4.5349E-07   3.0070E-13 -7.6473E-18  5.5827E-07 -2.3662E-11
    32      1.5493E-08    2.0256E-11  4.5805E-07   3.0677E-13 -7.8802E-18  5.6388E-07 -2.4140E-11
